,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
softmax_combined,9767,9762,9704,9781,9761,9828,9831,9805,9747,9735,9809,9769,9709,9778,9766,9776,9766,9783,9774,9788
sphereface_combined,9846,9839,9847,9862,9805,9821,9831,9833,9841,9847,9867,9827,9857,9850,9844,9848,9850,9830,9835,9828
arcface_combined,9822,9843,9846,9780,9852,9819,9836,9843,9831,9851,9833,9819,9849,9837,9826,9775,9822,9825,9814,9827
cosface_combined,9833,9849,9817,9814,9828,9838,9828,9835,9844,9851,9856,9856,9834,9811,9842,9832,9802,9829,9833,9804
adacos_combined,9832,9781,9788,9815,9801,9826,9760,9826,9821,9812,9762,9779,9781,9758,9766,9753,9743,9831,9819,9811
all_combined,0,1135,6,1026,0,0,0,14,29,929,502,958,1028,0,571,0,0,0,0,933
